Item Name,SKU,Brand,Spec,Cat_ID,Photo_1,Photo_2,Photo_3,Photo_4,Photo_5,Activate
"ดาวน์ไลท์ [6""] 12W/WH iwa.         ", ดล-04612-WH,,,,,,,,,
"โคม(4"") DN020 LED12W/6500K-PL      ", ดล-10412-6t,,,,,,,,,
"ดล.MESON(6"")59472 LED17W/WW-PL     ", ดล-12017-WW19ช,,,,,,,,,
"ดล.[4""]Meson/59451 LED9W/3000K     ", ดล-12409-WW,,,,,,,,,
"ดาวน์ไลท์ [4""]59526 9W/6500K PL.   ", ดล-15952-6Dม2,,,,,,,,,
ดาวน์ไลท์ติดลอย SS30 [ดำ]          , ดล-40030-B,BEC,,2014,,,,,,
ดาวน์ไลท์ติดลอย SS40 [ดำ] BEC      , ดล-40040-B,,,,,,,,,
ดาวน์ไลท์ติดลอย SS40 [ขาว] BEC     , ดล-40040-W,BEC,,2014,,,,,,
ดาวน์ไลท์ติดลอย SS50 [ดำ] BEC      , ดล-40050-B,BEC,,2014,,,,,,
ดาวน์ไลท์ติดลอย SS50 [ขาว] BEC     , ดล-40050-W2,,,,,,,,,
JUPITER-O LED 3Step (9W)WarmW. BEC , ดล-43009-OWW ,,,,,,,,,
ไดร์เวอร์ For LED Tape PL.         , ดว-10000-11,Philips,,1012,,,,,,
ตู้เหล็ก SS-00 (20x30x15) KJL      , ตฟ-00000-00,KJL,,1210,,,,,,
ตู้เหล็ก SS-1 (30x45x17) KJL       , ตฟ-00001-,,,,,,,,,
ตู้กันน้ำมีหลังคาSW-0 KJL          , ตฟ-10000-0,KJL,,1210,,,,,,
ตู้กันน้ำมีหลังคาSW-00 KJL         , ตฟ-10000-00,,,,,,,,,
ตู้_หลังคา SW-1 KJL                , ตฟ-10000-117,KJL,,1210,,,,,,
ตู้กันน้ำมีหลังคาSW-2 KJL          , ตฟ-10000-2,,,,,,,,,
ตู้กันน้ำมีหลังคาSW-3 KJL          , ตฟ-10000-3,KJL,,1210,,,,,,
"ท่ออ่อนเหล็กกันน้ำ-ดำ 1/2"" U.td    ", ทอ-31012-M,United,,1613,,,,,,
"ท่ออ่อนเหล็กกันน้ำ-ดำ 3/4"" Unt     ", ทอ-31034-,,,,,,,,,
"ท่ออ่อนเหล็กกันน้ำ-ดำ 1"" Unt       ", ทอ-31100-,,,,,,,,,
ลูกฟูกเหลือง15มิล ช้าง             , ทอ-51015-1,SCG,,1611,,,,,,
"ท่อHDPE 32mm.(1"")BTC              ", ทอ-60000-32,BTC,,1614,,,,,,
เทปม้วนดำ 3M Temflex Plus          , เท-30000-,3M,,3021,,,,,,
เซอร์กิต QO116VSC6T                , บก-10116-,Schneider,,1110,,,,,,
เซอร์กิต QO120VSC6T                , บก-10120-,,,,,,,,,
เซอร์กิต QO132VSC6T                , บก-10132-,,,,,,,,,
เบเกอร์ EZC100H2050 50A            , บก-13250-H,Schneider,,1111,,,,,,
เมนตู้เซฟทีคัท 2P 50A              , บก-20250-,Safe-T-Cut,,1110,,,,,,
"บุชชิ่ง 3/4"" S.City                ", บช-10002-,Steel City,,1612,,,,,,
ป้ายไฟกันน้ำLED ถ้วยCoffee         , ปฟ-00012-B,,,,,,,,,
ปลั๊กตัวผู้ PVC 3p M301 BEC        , ปล-03301-T5031,,,,,,,,,
ปลั๊กกราวน์คู่+ม่าน+สวิตช์ WEGP1282, ปล-12821-,Panasonic,,1410,,,,,,
ชุดสายพ่วง3m+ปลั๊กม่าน6ที่WCHG 2836, ปล-12836-,Panasonic,,4010,,,,,,
ปลั๊กกราวน์คู่สีดำ PG-822CB ช้างi  , ปล-20822-CBยว,Chang,,1410,,,,,,
ปลั๊กราง 3ที่+2USB H523/เขียวมิ้นท์, ปล-70523-LB,Anitech,,4010,,,,,,
ปลั๊กพ่วง 4ช่อง2สวิทซ์ H604/น้ำเงิน, ปล-70604-BL,,,,,,,,,
ปลั๊กพ่วง 5ช่อง1สวิทซ์ H605/น้ำเงิน, ปล-70605-BL,Anitech,,4010,,,,,,
เต้ารับUSB 1ช่อง3031USB Schn.      , ปล-83031-USB,Chang,,1410,,,,,,
ปลอกหางปลา ดำ VC-003 (10ต)         , ปห-00003-B,,,,,,,,,
ปลอกหางปลา น้ำตาลVC-5.5(10ต)       , ปห-00005-BR,,,,,,,,,
ปลอกหางปลา ดำ VC-022 (10ต)         , ปห-00022-B0฿,,,,,,,,,
โคมผนัง LED 4156 (ดำ) LT           , ผน-00000-4156,CEL,,2110,,,,,,
โคมผนัง LED 4162 [ดำ] LT           , ผน-00000-4162,,,,,,,,,
โคมผนังดำ-ใส จันทร์กะพ้อB12.337.B.C, ผน-00012-B,CEL,,2110,,,,,,
โคมผนัง เทาน้ำตาลใส B12.337        , ผน-00012-BR8,CEL,,2110,,,,,,
โคมผนัง ทรายทองใส B12.337          , ผน-00012-G017,,,,,,,,,
โคมผนัง-ดำ กรงนกAL/แก้วใส          , ผน-00103-,CEL,,2110,,,,,,
